Neptune X	Neptune Y
4.2909296481638745E12	-1.284539429902665E12
4.2963699159062E12	-1.2656658294141294E12
4.301727875781387E12	-1.2467679644345093E12
4.3070034265977495E12	-1.227846191578036E12
4.312196467269198E12	-1.2089008725682168E12
4.317306894644625E12	-1.1899323739085432E12
4.3223346023376606E12	-1.170941065398225E12
4.3272794808646587E12	-1.1519273178994094E12
4.332141419052608E12	-1.1328915009584565E12
4.3369203063374497E12	-1.1138339809222358E12
4.341616035334632E12	-1.094755120066425E12
4.3462285039728394E12	-1.0756552769916589E12
4.3507576165820103E12	-1.0565348081864774E12
4.355203283623403E12	-1.0373940703176104E12
4.3595654201387256E12	-1.0182334225984729E12
4.3638439433621143E12	-9.990532285666123E11
4.368038770169085E12	-9.798538567832987E11
4.3721498150582417E12	-9.606356802748818E11
4.3761769892073794E12	-9.413990748724313E11
4.38012020085886E12	-9.221444168998868E11
4.383979356932742E12	-9.028720808315117E11
4.3877543654398857E12	-8.835824375538177E11
4.391445138037794E12	-8.642758537180648E11
4.395051592015323E12	-8.44952692371605E11
4.398573651148107E12	-8.256133146969154E11
4.402011245181285E12	-8.062580823674828E11
4.405364308092496E12	-7.86887359848906E11
4.408632775636727E12	-7.675015160024694E11
4.411816582858693E12	-7.481009245567179E11
4.414915662253895E12	-7.286859633280555E11
4.417929943074027E12	-7.092570124079021E11
4.420859351965392E12	-6.898144518007384E11
4.423703814784784E12	-6.703586591486497E11
4.426463259110907E12	-6.508900081712756E11
4.429137616761124E12	-6.31408868263058E11
4.431726825610469E12	-6.119156053717126E11
4.434230830197099E12	-5.924105839137382E11
4.43664958095367E12	-5.728941691820021E11
4.438983032295931E12	-5.533667295719407E11
4.44123114010743E12	-5.33828638014166E11
4.443393859316889E12	-5.1428027223083826E11
4.445471142224075E12	-4.9472201375830505E11
4.447462938023964E12	-4.7515424600141364E11
4.449369193666268E12	-4.5557735184351807E11
4.451189855824184E12	-4.3599171146394763E11
4.452924873438376E12	-4.1639770096870325E11
4.454574200130466E12	-3.967956922298305E11
4.456137795796418E12	-3.7718605398685565E11
4.457615626927861E12	-3.5756915389530194E11
4.459007665577752E12	-3.3794536094088776E11
4.460313887267814E12	-3.183150475429696E11
4.461534268424375E12	-2.986785907736386E11
4.462668784035432E12	-2.790363723708635E11
4.4637174061546045E12	-2.59388777540975E11
4.464680103660912E12	-2.3973619286752078E11
4.465556843347614E12	-2.2007900388777435E11
4.466347592052988E12	-2.004175929983216E11
4.467052319247767E12	-1.807523382776316E11
4.46767099934812E12	-1.6108361355984982E11
4.46820361310324E12	-1.4141178973589963E11
4.468650147671454E12	-1.2173723690905849E11
4.469010595373472E12	-1.0206032679138316E11
4.469284951483963E12	-8.238143467480304E10
4.469473211672038E12	-6.270094044348937E10
4.469575369785182E12	-4.3019228355704315E10
4.469591416576998E12	-2.333668565242932E10
4.469521339728468E12	-3.6537003592720685E9
4.469365125175324E12	1.602934112813239E10
4.469122759391395E12	3.571205600508342E10
4.4687942319927705E12	5.539406601130335E10
4.468379537930756E12	7.507499710624423E10
4.467878678655715E12	9.475447796315155E10
4.467291661938177E12	1.1443213771782452E11
4.466618500417792E12	1.3410760360275594E11
4.465859209287904E12	1.5378049911349686E11
4.465013803750016E12	1.7345044320344736E11
4.464082296928584E12	1.9311705072314352E11
4.463064698813349E12	2.127799339933453E11
4.461961016533836E12	2.3243870509448083E11
4.460771255904649E12	2.5209297824536844E11
4.459495423820953E12	2.7174237160903986E11
4.458133530838657E12	2.9138650801367285E11
4.456685593208917E12	3.1102501438454395E11
4.455151633799601E12	3.306575200587179E11
4.453531681662805E12	3.502836544635375E11
4.451825770382053E12	3.6990304480438727E11
4.450033935662573E12	3.8951531439100885E11
4.448156212817916E12	4.091200820494151E11
4.446192634827966E12	4.287169627845048E11
4.44414323150715E12	4.4830556952719183E11
4.442008030027075E12	4.678855154959707E11
4.439787056662208E12	4.874564165218854E11
4.437480339277347E12	5.070178926813259E11
4.435087909851333E12	5.265695687755377E11
4.432609806329206E12	5.461110735319376E11
4.430046073296239E12	5.656420377616843E11
4.427396761298618E12	5.851620919941646E11
4.424661925011092E12	6.046708642404136E11
4.421841620753131E12	6.241679784891222E11
4.4189359040233955E12	6.436530543444332E11
4.415944827724978E12	6.631257079123325E11
4.412868441573058E12	6.825855537062925E11
4.409706792864118E12	7.020322070587286E11
4.406459928406566E12	7.2146528636494E11
4.40312789706849E12	7.408844145251562E11
4.399710752222477E12	7.602892191826755E11
4.396208553402657E12	7.796793317021278E11
4.3926213667238745E12	7.99054385189256E11
4.3889492639667964E12	8.18414012105323E11
4.3851923205836455E12	8.377578421230681E11
4.381350613161173E12	8.570855008059725E11
4.3774242170277573E12	8.763966094746765E11
4.373413204658753E12	8.956907863103269E11
4.3693176453332783E12	9.149676484071261E11
4.365137606150909E12	9.342268142074299E11
4.3608731541239595E12	9.534679056371956E11
4.356524358757108E12	9.726905493427349E11
4.3520912943859937E12	9.918943766865304E11
4.3475740416241846E12	1.0110790225198712E12
4.342972687533634E12	1.03024412308574E12
4.338287324480925E12	1.0493893136302886E12
4.333518047994109E12	1.0685142263726403E12
4.3286649541972524E12	1.0876184893822928E12
4.3237281375121133E12	1.106701726679524E12
4.318707689265327E12	1.125763559551394E12
4.313603697601356E12	1.14480360873066E12
4.3084162487334927E12	1.1638214968328354E12
4.3031454291818535E12	1.1828168503653945E12
4.2977913283594478E12	1.2017893007472388E12
4.2923540407811763E12	1.220738484070276E12
4.2868336672955444E12	1.2396640396864045E12
4.2812303150106313E12	1.258565608018354E12
4.2755440959415645E12	1.2774428281954153E12
4.2697751247443916E12	1.2962953361552065E12
4.263923516144632E12	1.3151227637352458E12
4.257989382767513E12	1.3339247390194326E12
4.251972833976639E12	1.3527008878598752E12
4.245873976056562E12	1.371450836164222E12
4.23969291369842E12	1.3901742123102466E12
4.2334297523664907E12	1.4088706490087983E12
4.227084600878313E12	1.42753978410409E12
4.220657573484894E12	1.4461812601053801E12
4.2141487908891025E12	1.464794722598188E12
4.2075583799429326E12	1.4833798179798445E12
4.20088647211084E12	1.501936191131226E12
4.19413320110923E12	1.520463483659271E12
4.1872987003661777E12	1.5389613332012727E12
4.180383101005907E12	1.5574293739983816E12
4.1733865309339614E12	1.5758672385949836E12
4.166309115292942E12	1.5942745601903833E12
4.1591509781579136E12	1.6126509749784348E12
4.151912244992199E12	1.6309961238225293E12
4.144593045177503E12	1.6493096528060698E12
4.1371935139220195E12	1.6675912125203965E12
4.129713793037008E12	1.6858404562961526E12
4.1221540303756816E12	1.7040570378576357E12
4.1145143780820005E12	1.7222406090344795E12
4.1067949901190195E12	1.7403908181530225E12
4.0989960197439106E12	1.7585073095562615E12
4.091117617631606E12	1.7765897244023267E12
4.083159931181161E12	1.7946377025264216E12
4.0751231051981904E12	1.812650884841349E12
4.067007283753009E12	1.8306289155993298E12
4.0588126126788066E12	1.8485714438842202E12
4.050539242008544E12	1.8664781239363633E12
4.0421873276889253E12	1.8843486142371206E12
4.0337570321079644E12	1.9021825756071052E12
4.0252485232885615E12	1.9199796688346418E12
4.0166619729560386E12	1.9377395524777458E12
4.007997553993356E12	1.9554618814487217E12
3.9992554379850015E12	1.9731463067896833E12
3.9904357935383516E12	1.9907924767137637E12
3.981538785854195E12	2.0084000386276113E12
3.9725645776664185E12	2.0259686415680842E12
3.9635133312748184E12	2.043497938369238E12
3.9543852110938843E12	2.0609875869679011E12
3.9451803860156763E12	2.0784372505040652E12
3.935899030944686E12	2.0958465962020376E12
3.926541327095134E12	2.1132152933439565E12
3.91710746096631E12	2.1305430108808843E12
3.907597622258492E12	2.1478294153338398E12
3.898012001295496E12	2.1650741695759473E12
3.888350786671078E12	2.1822769328490125E12
3.8786141637852144E12	2.1994373620228867E12
3.8688023146869185E12	2.2165551137442593E12
3.858915419255418E12	2.233629846866127E12
3.8489536573769404E12	2.2506612244869404E12
3.838917211512366E12	2.267648915047666E12
3.8288062689528174E12	2.284592592199348E12
3.818621023157221E12	2.3014919334869194E12
3.808361673807954E12	2.3183466182031E12
3.798028425557354E12	2.335156324994873E12
3.7876214857996284E12	2.3519207298837236E12
3.7771410620770166E12	2.3686395052564697E12
3.7665873598459565E12	2.385312320123947E12
3.7559605812386543E12	2.4019388415808965E12
3.745260925163459E12	2.418518737052232E12
3.7344885887041836E12	2.4350516766948486E12
3.723643769416576E12	2.4515373352914834E12
3.712726667883438E12	2.4679753931299434E12
3.7017374898401797E12	2.4843655356420444E12
3.690676447297404E12	2.5007074518990723E12
3.679543758346435E12	2.5170008323670884E12
3.668339645687354E12	2.5332453665328525E12
3.6570643342709497E12	2.5494407410609736E12
3.6457180487104873E12	2.565586639010416E12
3.634301011194708E12	2.5816827403360327E12
3.6228134404849688E12	2.5977287235315635E12
3.611255552269445E12	2.613724267949892E12
3.5996275607609194E12	2.629669056150957E12
3.587929681084588E12	2.6455627756376284E12
3.5761621318040317E12	2.661405119516394E12
3.5643251368994756E12	2.677195785907011E12
3.552418926660015E12	2.6929344762608345E12
3.5404437372377915E12	2.708620893037665E12
3.5283998089661147E12	2.7242547373752036E12
3.5162873838979443E12	2.7398357074083467E12
3.5041067032540547E12	2.755363497717766E12
3.491858005499166E12	2.7708378000660254E12
3.4795415255842954E12	2.786258305208724E12
3.467157495549263E12	2.801624705262897E12
3.454706146299009E12	2.816936695979807E12
3.442187710062433E12	2.83219397830935E12
3.4296024228641064E12	2.847396258835749E12
3.416950526338702E12	2.8625432489667236E12
3.4042322683870557E12	2.877634663086495E12
3.3914479024741587E12	2.8926702161709204E12
3.3785976857501367E12	2.907649621528431E12
3.3656818765115645E12	2.9225725893018584E12
3.3527007317133677E12	2.9374388261574727E12
3.3396545052311685E12	2.9522480362472314E12
3.3265434473491035E12	2.96699992316306E12
3.313367805596882E12	2.9816941923349414E12
3.3001278266914863E12	2.9963305532140903E12
3.286823759044854E12	3.0109087206529297E12
3.273455855159902E12	3.025428415114752E12
3.260024373262982E12	3.039889361648308E12
3.246529577710587E12	3.054291287895151E12
3.232971738039712E12	3.068633921674565E12
3.2193511269105967E12	3.082916988821077E12
3.20566801751527E12	3.097140211891683E12
3.19192268118445E12	3.111303310107115E12
3.1781153858544243E12	3.1254060005327285E12
3.1642463958052305E12	3.139448000163479E12
3.150315972725607E12	3.1534290283348066E12
3.136324377801025E12	3.167348808806438E12
3.122271874258188E12	3.1812070709622363E12
3.108158729675032E12	3.1950035497979995E12
3.093985217418584E12	3.208737984695492E12
3.079751616804338E12	3.222410117312775E12
3.0654582119147393E12	3.2360196891726636E12
3.051105289398517E12	3.249566439634271E12
3.0366931358731416E12	3.2630501048258906E12
3.0222220356606235E12	3.2764704178377847E12
3.0076922694853174E12	3.289827110115012E12
2.993104114479823E12	3.303119913653912E12
2.978457845480712E12	3.316348563402274E12
2.9637537372624937E12	3.329512799222491E12
2.9489920671096406E12	3.3426123668873477E12
2.934173117029213E12	3.3556470178333384E12
2.919297174992702E12	3.36861650772705E12
2.9043645348472427E12	3.381520594231373E12
