Jupiter X	Jupiter Y
-6.360622866911251E11	-5.0421378380535065E11
-6.063906825972922E11	-5.3800861952718463E11
-5.747677354042051E11	-5.700706102170967E11
-5.4128775216876373E11	-6.002879490422952E11
-5.060508562934006E11	-6.285549352829727E11
-4.6916331918690625E11	-6.547689383676409E11
-4.307375235171417E11	-6.788340278817366E11
-3.908914195668666E11	-7.006574865814453E11
-3.497488186005222E11	-7.201540243787664E11
-3.0743873623549805E11	-7.372426008143827E11
-2.640956328608394E11	-7.518504748106348E11
-2.1985885274373868E11	-7.639098039264121E11
-1.7487323498546973E11	-7.733615381302787E11
-1.2928756220964763E11	-7.8015234163948E11
-8.325520126118848E10	-7.842382997310906E11
-3.6933022496595345E10	-7.855827586033586E11
9.517755971288113E9	-7.841590484127207E11
5.593325712800674E10	-7.799479000795756E11
1.0214662340456506E11	-7.729411288336033E11
1.4798941659038248E11	-7.631387328058303E11
1.9329078829448462E11	-7.50552952319446E11
2.3787950898273364E11	-7.352045542520737E11
2.815831181919582E11	-7.171266743066943E11
3.2423060384601105E11	-6.963619163050188E11
3.656512309485773E11	-6.729660185800399E11
4.056765113576454E11	-6.470044230436112E11
4.441401458092498E11	-6.185555949654054E11
4.808799932256828E11	-5.877077831025154E11
5.157378700458683E11	-5.545625417569471E11
5.48561704299185E11	-5.1923136400349036E11
5.792045418857034E11	-4.818382333303164E11
6.07527940961014E11	-4.4251676170791113E11
6.334005325063114E11	-4.014117955651855E11
6.567013382784211E11	-3.5867757102593823E11
6.773180770181025E11	-3.144789174581454E11
6.951504134151832E11	-2.6898807334822296E11
7.101085961252604E11	-2.223860261987321E11
7.221171340330336E11	-1.7486014018812592E11
7.311115447533456E11	-1.2660517909514668E11
7.370430575388531E11	-7.781976572793954E10
7.398751948252256E11	-2.870729104235266E10
7.395879231752994E11	2.0526711408436386E10
7.361746721968597E11	6.967420532734613E10
7.296453834622073E11	1.1852753211349185E11
7.20023707037252E11	1.668790429669365E11
7.07349428113817E11	2.1452388406798428E11
6.916757250558414E11	2.6126049564628613E11
6.730726158608456E11	3.068918942133946E11
6.516215250087817E11	3.5122617151274896E11
6.274193771558818E11	3.9407929419975006E11
6.005740654544323E11	4.3527456137581964E11
5.712074137456494E11	4.746445635357395E11
5.3945069392279596E11	5.120312997204468E11
5.054469259086913E11	5.472877733612972E11
4.693466338176293E11	5.802777507426005E11
4.313103305594494E11	6.108773530106622E11
3.915039517673457E11	6.389747854943328E11
3.501011694798879E11	6.644711269969298E11
3.0727935126601733E11	6.872801661686611E11
2.6322093506278104E11	7.073286743522511E11
2.1810961801737912E11	7.245567464384794E11
1.7213273263629446E11	7.389173440629752E11
1.2547658276992807E11	7.503769359202471E11
7.832942390672636E10	7.589137250741876E11
3.0876593201302876E10	7.64519274950762E11
-1.6696928180887777E10	7.671963398521405E11
-6.421028451432879E10	7.66960096837047E11
-1.1148447025935129E11	7.638365782231613E11
-1.583453278655813E11	7.578626115226509E11
-2.0462338025295413E11	7.490846338792578E11
-2.5015388655206604E11	7.37560519756275E11
-2.947777295625671E11	7.233546106882539E11
-3.383422616117985E11	7.065421968739884E11
-3.807007047383409E11	6.872051662298087E11
-4.2171305245409357E11	6.654335523876119E11
-4.6124667639705206E11	6.413231562918975E11
-4.991755274313635E11	6.149777788442172E11
-5.353811390682514E11	5.865055994794335E11
-5.697522937194824E11	5.56020550969186E11
-6.021859983231483E11	5.236409834542992E11
-6.325859718883503E11	4.894906741286987E11
-6.608642470621608E11	4.536957968226765E11
-6.869397988061484E11	4.163865248005275E11
-7.107405770837207E11	3.776957720588871E11
-7.322006656419866E11	3.377592183842156E11
-7.512632094252198E11	2.96714357917928E11
-7.678776568361399E11	2.5470112787685742E11
-7.820022655809304E11	2.118601828657637E11
-7.936011673742382E11	1.6833343195568192E11
-8.026477646367241E11	1.2426383541401913E11
-8.091211071483705E11	7.979442279560191E10
-8.130090803506259E11	3.506880251046111E10
-8.143055136219359E11	-9.770063300153547E9
