Halley's Comet X	Halley's Comet Y
-3.0565017858073223E12	3.9078167146237993E12
-3.0557810062649956E12	3.912256881004743E12
-3.0550223977933687E12	3.916648615784884E12
-3.0542260355671445E12	3.9209919492037285E12
-3.0533919936899155E12	3.9252869103277305E12
-3.052520345206634E12	3.929533527056045E12
-3.0516111621152896E12	3.9337318261265605E12
-3.0506645153785405E12	3.937881833122261E12
-3.049680474934241E12	3.9419835724775386E12
-3.0486591097055977E12	3.94603706748348E12
-3.047600487612393E12	3.9500423402938267E12
-3.046504675580922E12	3.9539994119318477E12
-3.045371739553216E12	3.957908302296127E12
-3.044201744496258E12	3.9617690301663467E12
-3.042994754410865E12	3.965581613208911E12
-3.04175083234077E12	3.96934606798277E12
-3.0404700403806846E12	3.973062409945889E12
-3.03915243968334E12	3.9767306534601484E12
-3.037798090467279E12	3.980350811796172E12
-3.0364070520242393E12	3.9839228971388486E12
-3.0349793827258506E12	3.9874469205923486E12
-3.0335151400299224E12	3.9909228921851123E12
-3.0320143804858027E12	3.9943508208738257E12
-3.030477159740678E12	3.9977307145472715E12
-3.028903532545251E12	4.001062580031113E12
-3.027293552757939E12	4.0043464230915474E12
-3.0256472733494087E12	4.0075822484381973E12
-3.0239647464068916E12	4.010770059727048E12
-3.0222460231384277E12	4.013909859562977E12
-3.0204911538767666E12	4.017001649502808E12
-3.0187001880817754E12	4.0200454300571846E12
-3.016873174343579E12	4.023041200691301E12
-3.0150101603859077E12	4.025988959826542E12
-3.013111193068219E12	4.0288887048415073E12
-3.0111763183878926E12	4.0317404320723374E12
-3.009205581481811E12	4.034544136812467E12
-3.007199026628222E12	4.0372998133115083E12
-3.0051566972492026E12	4.040007454774775E12
-3.003078635911575E12	4.042667053362444E12
-3.0009648843278496E12	4.045278600186976E12
-2.998815483357963E12	4.047842085310772E12
-2.9966304730105547E12	4.0503574977435938E12
-2.994409892444473E12	4.052824825439592E12
-2.992153779969693E12	4.055244055294083E12
-2.989862173048254E12	4.0576151731387954E12
-2.98753510829668E12	4.0599381637374585E12
-2.9851726214877417E12	4.062213010782006E12
-2.982774747551969E12	4.064439696887433E12
-2.980341520579829E12	4.0666182035865015E12
-2.9778729738242114E12	4.0687485113239585E12
-2.9753691397038984E12	4.070830599451122E12
-2.972830049806783E12	4.072864446220909E12
-2.970255734892851E12	4.0748500287816665E12
-2.9676462248987544E12	4.0767873231709717E12
-2.965001548942789E12	4.078676304310412E12
-2.9623217353300522E12	4.080516946000357E12
-2.959606811557879E12	4.0823092209150576E12
-2.9568568043214087E12	4.084053100597386E12
-2.9540717395206064E12	4.0857485554539404E12
-2.951251642267569E12	4.0873955547519243E12
-2.948396536893034E12	4.0889940666157393E12
-2.945506446953786E12	4.090544058023772E12
-2.942581395240282E12	4.0920454948062954E12
-2.939621403784464E12	4.0934983416438296E12
-2.93662649386743E12	4.0949025620671436E12
-2.9335966860256753E12	4.096258118457176E12
-2.9305320000578486E12	4.0975649720447017E12
-2.927432455031482E12	4.0988230829119653E12
-2.924298069288063E12	4.1000324099945977E12
-2.921128860447416E12	4.1011929110836055E12
-2.9179248454108477E12	4.10230454282756E12
-2.9146860403635713E12	4.1033672607342373E12
-2.9114124607766445E12	4.104381019173288E12
-2.908104121406416E12	4.105345771378704E12
-2.904761036292812E12	4.106261469449355E12
-2.9013832187574365E12	4.10712806434941E12
-2.8979706814001777E12	4.107945505908167E12
-2.8945234360951284E12	4.108713742818909E12
-2.8910414939850566E12	4.1094327226367563E12
-2.88752486547521E12	4.11010239177415E12
-2.8839735602278945E12	4.110722695495745E12
-2.8803875871560854E12	4.1112935779129106E12
-2.8767669544163257E12	4.1118149819759697E12
-2.8731116694023306E12	4.1122868494652393E12
-2.869421738738692E12	4.11270912098086E12
-2.8656971682756455E12	4.113081735931949E12
-2.8619379630837974E12	4.1134046325257485E12
-2.8581441274485327E12	4.1136777477547104E12
-2.854315664866355E12	4.1139010173830317E12
-2.850452578041681E12	4.1140743759336787E12
-2.846554868884015E12	4.114197756674803E12
-2.8426225385055806E12	4.114271091606191E12
-2.8386555872192173E12	4.114294311444822E12
-2.834654014537934E12	4.114267345610473E12
