Voyager 1 X	Voyager 1 Y
-4.2418724103307954E12	-1.6708184006773322E13
-4.2493370149106094E12	-1.6757361512631545E13
-4.2568008423300234E12	-1.6806535953710094E13
-4.264263897923325E12	-1.6855707347467807E13
-4.2717261869712793E12	-1.6904875711214398E13
-4.279187714701888E12	-1.6954041062111824E13
-4.286648486291033E12	-1.700320341717618E13
-4.294108506863201E12	-1.7052362793279363E13
-4.3015677814921465E12	-1.7101519207150533E13
-4.309026315201563E12	-1.7150672675377795E13
-4.3164841129657227E12	-1.7199823214409906E13
-4.323941179710138E12	-1.7248970840557662E13
-4.331397520312185E12	-1.7298115569995479E13
-4.338853139601739E12	-1.7347257418762988E13
-4.3463080423617744E12	-1.7396396402766482E13
-4.3537622333289785E12	-1.7445532537780389E13
-4.3612157171943286E12	-1.7494665839448664E13
-4.368668498603715E12	-1.7543796323286355E13
-4.3761205821584863E12	-1.7592924004680848E13
-4.3835719724159824E12	-1.764204889889354E13
-4.391022673890148E12	-1.769117102106066E13
-4.398472691052047E12	-1.7740290386195293E13
-4.405922028330408E12	-1.7789407009188273E13
-4.41337069011211E12	-1.7838520904809664E13
-4.420818680742773E12	-1.7887632087710023E13
-4.428266004527239E12	-1.793674057242161E13
-4.435712665729988E12	-1.7985846373359848E13
-4.443158668575737E12	-1.8034949504824406E13
-4.450604017249874E12	-1.8084049981000445E13
-4.458048715898969E12	-1.8133147815959895E13
-4.465492768631162E12	-1.8182243023662504E13
-4.47293617951668E12	-1.8231335617957457E13
-4.480378952588292E12	-1.828042561258389E13
-4.487821091841703E12	-1.8329513021172582E13
-4.495262601236065E12	-1.8378597857246934E13
-4.502703484694334E12	-1.8427680134224E13
-4.510143746103732E12	-1.847675986541556E13
-4.517583389316166E12	-1.852583706402955E13
-4.525022418148583E12	-1.8574911743170832E13
-4.5324608363834795E12	-1.8623983915842426E13
-4.539898647769223E12	-1.8673053594946395E13
-4.547335856020442E12	-1.8722120793285047E13
-4.554772464818482E12	-1.8771185523561996E13
-4.562208477811755E12	-1.8820247798383082E13
-4.56964389861608E12	-1.8869307630257332E13
-4.577078730815123E12	-1.8918365031598137E13
-4.584512977960734E12	-1.8967420014724055E13
-4.591946643573355E12	-1.901647259185991E13
-4.5993797311422705E12	-1.906552277513763E13
